index,vbm
251,-5.46258736506676
252,-7.13025660696484
253,-4.98805225335508
254,-5.25500879811076
255,-8.3610260138382
256,-7.08724627154497
257,-5.21206477845068
258,-4.8980131953055
259,-4.41998319029029
260,-5.18951224005603
261,-5.4118001943165
262,-4.796744395948
263,-4.68520005316274
264,-4.42474548603798
265,-6.64235696073106
266,-7.12288473054081
267,-6.70663826288172
268,-6.16309788797106
269,-3.77852149649704
270,-7.45666194890737
271,-7.2603253543132
272,-6.61717770283396
273,-6.65771571171427
274,-5.98482513885592
275,-5.84289711756398
276,-4.71183506948711
277,-4.80339089894425
278,-4.44796469273709
279,-4.60818333221411
280,-7.07335523003489
281,-6.62822388097182
282,-4.12714039631806
283,-5.16957326677248
284,-6.60894945696184
285,-6.22543545356737
286,-6.21721332999352
287,-8.87136684449759
288,-12.1248785688353
289,-7.41871375767384
290,-6.45363008341219
291,-5.67768738330956
292,-5.74533932025096
293,-5.99777538359126
294,-7.30125700243363
295,-7.82117789075389
296,-9.04523313424
297,-7.52874763700199
298,-7.23998143619882
299,-7.0553066007371
300,-7.81913237474276
301,-7.78655238917317
302,-7.82932989471134
303,-6.19840449142697
304,-6.89961364722056
305,-7.63001351975732
306,-6.56073942259216
307,-7.03378784644377
308,-7.24675333127798
309,-7.44884161470082
310,-3.66918871766991
311,-4.80627690275911
312,-6.82860032726594
313,-6.05438453713262
314,-6.69845678557571
315,-7.83882964974335
316,-6.37436620972965
317,-5.7911117809087
318,-5.78907071032033
319,-5.56318397478597
320,-6.10788595218745
321,-6.16243586021622
322,-4.90142134155164
323,-4.22930425585189
324,-4.56333235892954
325,-6.99013131851125
326,-5.90267812966097
327,-3.73717336425331
328,-3.92634628194748
329,-5.93148160825488
330,-7.52956358218903
331,-5.79664710984074
332,-6.35123881129158
333,-6.36850484056788
334,-6.3644004511662
335,-9.19011091189881
336,-3.76618339806433
337,-5.93641518951964
338,-6.90101876576067
339,-8.62494957150547
340,-6.96409970555102
341,-6.34953655874398
342,-5.27427940473846
343,-3.73269793629942
344,-7.45901712537416
345,-5.64171960154527
346,-6.68635818818786
347,-6.94320150722205
348,-6.32251763819387
349,-6.41293453919201
350,-6.88693112182636
351,-6.88126978981379
352,-5.61970659958087
353,-6.46301664804065
354,-7.40867690357101
355,-12.598752451154
356,-7.59994390295884
357,-7.06176026656804
358,-7.76050437078664
359,-8.42587079488106
360,-8.04321643460831
361,-7.35918575438411
362,-7.38490277370113
363,-4.7348136417344
364,-7.29164581223465
365,-8.4517692299918
366,-6.04721232569634
367,-5.83800219921743
368,-7.06728015915229
369,-5.25187924948178
370,-3.35752570954678
371,-4.55733105780453
372,-4.75000934016319
373,-3.8897150782228
374,-6.8536094059762
375,-6.26408933043714
376,-6.24298754390882
377,-4.93084698005765
378,-4.99420929799944
379,-6.27166171909251
380,-6.07975057330115
381,-6.41098101456005
382,-10.1458120959377
383,-6.828355620737
384,-7.00344889160704
385,-9.87320259449222
386,-8.63277711308357
387,-6.42218901224072
388,-6.03043040403264
389,-7.26318030829885
390,-7.26683051911436
391,-7.18273599966157
392,-6.09929087128914
393,-5.01282943147534
394,-5.18474723290037
395,-8.03767372897213
396,-5.76860232588869
397,-6.87013291953688
398,-6.72069053949085
399,-5.27257486536072
400,-4.67919463469205
401,-6.46278157774954
402,-8.97748394263713
403,-8.97433510629479
404,-8.95756536796084
405,-7.27554963356773
406,-6.83461540935968
407,-4.90850153878007
408,-6.53207101188258
409,-5.57373223569286
410,-5.93695760031562
411,-8.38227237079655
412,-6.63259938917299
